LAB_0005,VAR_0001,VAR_0002,VAR_0003,VAR_0004,VAR_0005,VAR_0006,VAR_0007,VAR_0008,VAR_0009,VAR_0010,VAR_0011,VAR_0012,VAR_0013,VAR_0014,VAR_0015,VAR_0016,VAR_0017,VAR_0018,VAR_0019,VAR_0020,VAR_0021
136480,0,1,1,0,0,240,3748,6,53,1,3269,1.247776,0.46571067,906387.25,8854101,0.6733017,1381.3881,10,76071.484,2770597.2,5274300
137059,1,1,2,0,0,1678,8107,31,30,6,1876,7.6939507,0.8842977,1393738.9,7698213,0.13525198,888.16644,9,1857.6417,2385379.2,3229003.8
137659,2,1,0,0,0,8728,7159,91,29,4,1302,22.107136,0.22704685,1442529.9,8119234,0.24760698,833.2293,11,79389.73,2288119.2,3187131.5
140568,2,2,2,0,0,5581,3550,9,17,3,2671,36.780334,0.6297477,39606.453,5184514.5,0.2016759,1252.757,5,100292.914,2109832.2,4257892
144432,0,2,0,0,0,4130,1531,78,23,3,3480,36.21895,0.73567295,339372.12,2297730,0.4221669,698.9706,10,49022.93,2233349.8,13048659
145166,2,2,0,0,0,2392,1182,36,26,0,1008,21.04777,0.29333287,1591782,1887882.5,0.91488546,1483.2112,10,3734.0984,2070265.4,2831763.8
145220,0,1,1,0,0,8545,7981,80,13,7,3711,8.363617,0.4742146,56674.457,287873.88,0.56425107,961.4852,6,74969.44,1882149,2565300.8
146004,1,1,0,0,0,3337,3996,100,32,4,4904,8.516049,0.9552559,1408818,1535446.9,1.0274792,1423.005,11,46998.996,3294938.8,8312159
148638,1,2,1,0,0,6926,5899,41,3,2,559,22.802845,0.21478733,786363.56,7336069,0.71973866,1534.7163,9,79515.82,2554085.8,9545865
148823,1,2,2,0,0,6682,8821,81,19,6,3726,32.51537,0.2688794,2227722,1893182,0.06872437,1159.9329,8,144173.53,1406967,3524877.5
148967,2,2,2,0,0,2532,8773,53,43,0,1171,8.879822,0.043365713,291045.5,6159746,0.76234347,485.31696,1,68243.586,3370599,4047025.5
149943,1,0,0,0,0,1114,8376,13,20,1,2120,14.951135,0.07738565,1269656.5,763798.4,0.5008554,308.7079,2,181354.77,1579709.2,1003967.5
150168,1,2,2,0,0,2268,6570,96,28,0,1413,19.359716,0.6383278,309498.44,4269606,0.71848166,608.655,0,183786.75,3500596.8,10007387
150236,2,0,1,0,0,9562,478,54,18,1,2636,4.40144,0.7018,2262008.5,577465,0.5210205,1374.3425,11,207865.45,2877394,6400305
150247,1,2,2,0,0,6777,72,44,19,1,2415,35.882195,0.60573125,1808358.1,2949149.8,0.28004065,923.501,1,218640.38,2179928.8,4076969
150574,0,2,1,0,0,1126,1730,66,49,6,3378,2.9124858,0.9571982,2556868,5519684,0.35246953,1275.9252,6,120120.85,2040008.6,12591797
150709,2,0,0,0,0,1481,9239,95,16,3,2180,18.438105,0.8264685,2571992.5,8038424,0.02639294,52.728687,5,129189.36,2195292,9568405
151967,2,1,2,0,0,5956,7636,86,40,0,4436,30.57583,0.9475913,401882.47,2643694.2,0.7625706,1691.8779,1,30820.094,1416736.6,512790.28
152439,2,1,2,0,0,3766,4067,57,4,1,4872,3.8053353,0.16176726,2468313.8,7460812,0.03249293,1577.4722,0,121235.41,1251734.2,12887645
152467,2,0,2,0,0,1204,2211,45,35,6,2514,2.4096339,0.60604376,1549948.6,9053050,0.96869034,687.7334,0,75147.81,1200788.6,3071428.5
154302,1,2,1,0,0,2336,7730,59,51,0,779,28.853197,0.79378104,2751590,3907698,0.54715616,912.726,5,171806.69,2895831,4641931
155386,1,0,2,0,0,3672,8153,4,28,7,4712,22.287064,0.88707376,2720430.2,8397905,0.9085696,41.318787,4,42617.504,1337329.5,6360339.5
156833,2,2,1,0,0,3556,8556,26,26,7,3912,32.07241,0.6168385,2545922.5,4850539.5,0.7509053,791.1718,4,69889,1550214.4,10304096
157311,0,2,0,0,0,2220,9793,82,25,4,2538,35.338547,0.9049747,2523915.5,4152274.5,0.69429576,777.54816,4,218392.88,48494.715,12185392
158072,0,1,1,0,0,6152,9780,25,3,1,495,6.6155653,0.43850404,1949531.2,3541207.8,0.40615603,311.59985,0,172406.1,1837572.4,11573905
158364,0,2,1,0,0,3120,5425,25,46,6,2226,8.592216,0.33427745,584799.9,8281949,1.0024761,384.3528,0,197406.88,1604328.1,7534955
158906,0,0,1,0,0,1865,4113,63,12,5,3299,20.876266,0.9296915,176172.7,6801662.5,0.6586716,421.44296,11,145752.06,1114200.2,9794965
160375,0,0,0,0,0,3597,9773,53,46,6,2037,10.643085,0.0340832,223762.72,1772936.5,0.6323633,579.44244,5,210424.69,1867440.6,8778135
160510,2,1,1,0,0,6204,40,39,38,0,2724,16.637804,0.5546854,2456717,4149220,0.24315858,1190.8998,8,114502.1,3248602,3872931.5
160889,2,1,2,0,0,951,1210,30,29,0,2844,23.482262,0.22616248,2149103,4093700.2,0.35637185,1706.9718,9,183334.58,768131.25,6234017
161184,2,1,1,0,0,3999,4579,23,21,3,1523,8.6799755,0.54558665,517402.75,6385425.5,0.18247801,656.0957,11,157785.5,2937925.2,8760871
163562,1,1,2,0,0,6396,4810,16,22,2,1871,6.8176813,0.32700598,1173624.4,8988992,0.52654433,705.76666,10,89001.805,224397.16,20700.795
164286,2,2,2,0,0,7285,6446,60,17,4,86,31.439753,0.94172394,1564046.9,6682658.5,0.2084991,1415.8855,11,195629.67,3076840,407393.22
166376,1,0,2,0,0,5615,955,41,31,2,3810,18.66703,0.7182718,51247.93,4604049,0.05601889,739.1505,4,37316.41,396179.4,797527.5
166686,1,1,1,0,0,3453,2854,6,21,1,926,26.883362,0.110132135,1830365.6,816523.1,0.030140234,691.3277,4,128798.25,3542668.2,9390976
166912,0,1,0,0,0,7282,313,89,52,4,4506,1.3830001,0.42746902,2309044.8,4289067.5,0.5412486,890.44995,10,91647.19,1570948.2,8937368
167306,2,1,1,0,0,6518,8567,18,31,7,4874,24.778345,0.6924528,1292753.1,622760.94,0.18116237,669.49255,8,163146.81,1063924,8452399
168098,1,0,0,0,0,254,7990,4,53,2,1520,7.0975513,0.29482633,1416661.4,6020931,0.4948891,1750.4562,3,97206.516,720582.75,6816883.5
168504,0,0,2,0,0,5387,6888,1,40,7,103,12.75114,0.8226496,736727.4,1053992.6,0.36524704,324.52756,11,13004.416,483204.72,857524.9
171168,0,1,0,0,0,5970,6594,9,31,3,4865,35.01145,0.5431305,1152183.4,3724721.5,0.4682864,1357.534,10,116133.24,2360124,3272640.5
173963,1,2,0,0,0,7740,6506,38,47,2,2497,6.740341,0.011784265,1705450.8,7646559,0.31145903,185.2576,3,53993.98,231596.88,4410335.5
175509,1,1,1,0,0,6577,1126,87,5,2,1600,29.772514,0.441216,1999424,114444.83,0.38942167,1562.8364,7,1947.5516,2338099,10468335
176776,0,2,2,0,0,5237,5200,17,21,5,3667,12.119293,0.89365965,1694250.2,7997711,1.57E-05,1780.3276,4,97189.75,1827616.4,7538348.5
176968,1,1,2,0,0,3268,1942,74,18,5,4713,10.716508,0.4701602,2083977.2,4430833.5,0.81911325,606.9543,4,106149.86,1883230.8,2362174.8
176981,0,2,1,0,0,5978,431,95,1,1,2577,24.701557,0.73647076,2514760.8,4833500.5,0.7391183,548.0598,9,81654.36,542280.2,9984460
177262,2,1,2,0,0,7698,8100,76,34,1,996,30.581223,0.5174869,2164084,3880544,0.6808185,65.295265,2,180078.33,1095910,10257791
178057,2,1,0,0,0,5050,4138,36,2,4,4495,3.7342782,0.3523437,724350.06,4482198.5,0.2042732,167.89749,9,1918.4387,2928073.2,4916311.5
179800,2,1,0,0,0,3630,3777,64,17,0,3929,7.287038,0.95993644,1373863,1536782.5,0.7488872,172.36713,7,137731.22,781860,11071342
181297,1,0,1,0,0,7725,9256,24,33,7,2013,6.219388,0.79277605,1189116.2,1466873.5,0.45354974,873.82806,0,81127.25,2459926.8,4116146.2
182840,0,0,1,0,0,780,7889,87,52,0,232,5.5293283,0.48616645,196771.02,4158839,0.99827546,338.55325,2,82724.08,1607784.8,5931615
183230,1,0,2,0,0,6127,4925,1,15,6,842,15.42542,0.53165597,822705.3,1389956.4,0.39758378,260.19348,2,82481.9,2170331.5,9134674
183581,2,2,0,0,0,2245,4883,73,21,2,2845,12.241722,0.20781206,2380481.2,6666082.5,0.29024112,257.3336,9,176516.77,1955135.1,6353110.5
184073,2,2,0,0,0,7695,505,99,4,6,3484,33.62681,0.8321252,661149,5072672.5,0.74100196,231.14452,5,120454.39,3428235.8,12474381
184267,2,1,0,0,0,4513,5881,5,4,0,285,20.962206,0.35179093,471633.8,6654062.5,0.33194408,1722.1938,1,13052.09,3140801.2,10394880
185204,2,0,0,0,0,740,5749,99,27,3,1435,9.794128,0.21883824,672651.4,6973638.5,0.17402263,312.14432,4,165636.83,1494722.1,1006738.56
185723,2,0,2,0,0,3100,8602,36,50,4,1171,4.472394,0.80898124,2436642.5,7076820.5,0.23862527,1083.3105,9,75879.24,1320261.5,7578849.5
187015,0,0,2,0,0,8243,5915,58,54,5,3153,26.920406,0.6747033,606420.1,8111973.5,0.8366397,923.22,10,132577.02,3163395.2,3211834.2
187585,2,2,2,0,0,6352,6898,81,53,2,3471,5.092669,0.789363,2441588.8,2714133.8,0.8187228,284.57486,0,222826.11,1023234.56,11659095
187748,0,0,2,0,0,590,6999,70,34,1,435,2.6364264,0.3218878,1279778.6,8649812,0.8598271,1662.8229,3,41644.38,1310578.2,1237981.9
188041,1,2,1,0,0,9846,8184,87,54,6,1526,15.783842,0.51945454,623042.25,5239284.5,0.449404,1263.7233,3,82741.8,154510.33,1514517.2
190157,0,0,1,0,0,9596,3386,83,10,7,2250,29.553284,0.56486964,2154967,1522398.1,0.11661209,1061.3451,10,145639.83,278207.88,8420265
190966,2,2,2,0,0,2777,3926,93,13,3,3399,14.679403,0.28174642,353702.88,6995619,0.7124054,663.1295,11,82865.12,494461.88,8734765
191844,1,1,2,0,0,6222,5960,58,44,5,3910,22.788269,0.7269015,1738148.9,5011309.5,0.8101781,640.2117,1,165090.88,3384051.8,7314246
191879,1,1,0,0,0,9424,8122,27,4,1,2047,20.385708,0.10209311,2713372.8,6921335,0.1979913,1702.0972,4,111818.1,296655.38,6444009.5
192088,2,0,1,0,0,2909,3353,41,30,0,1558,19.778221,0.015890084,2163156,2067512.9,0.25529495,1347.0273,10,145823.81,546037.4,12306253
192848,2,1,1,0,0,2630,4473,45,37,4,1385,19.636383,0.7500319,172055.45,150281.31,0.43129742,1495.0166,11,81849.3,2967266.5,4422471.5
192970,1,1,0,0,0,4516,8073,41,25,6,1379,7.7327375,0.56276274,2014575.5,9033598,0.26527563,1305.8713,0,147715.17,165205.33,6129707.5
195670,1,1,0,0,0,4425,7051,29,42,5,1182,33.356575,0.24474287,2667400.2,4220839.5,0.5785058,869.32764,2,89472.85,410871.4,436891.78
196153,1,2,2,0,0,463,4973,70,29,4,1564,2.3041244,0.6047817,489825.56,8307961.5,0.46142778,913.7723,6,155809.95,735530.7,3322658.2
198281,2,1,2,0,0,2690,2883,98,17,0,1447,14.06471,0.1479875,884329.56,1996590.8,0.2572821,474.1005,6,33499.82,1420978.5,9033754
198369,1,1,2,0,0,4644,8914,20,39,2,4295,10.196445,0.35515672,353378.38,8760269,0.45399976,1189.0027,1,173900.05,761851.4,7768239.5
199433,0,0,0,0,0,2416,2855,45,20,1,2938,7.9200716,0.10696343,2378806.2,7514470.5,0.87138313,1026.8412,7,221314.16,15299.047,144323.61
200701,1,0,2,0,0,8059,2291,86,36,2,4206,20.886538,0.12990525,1241794.1,7894557,0.51445,1364.3492,3,100437.18,3230226.2,11928058
201772,0,2,0,0,0,10026,2154,91,34,6,2576,28.51188,0.5464914,1933262,8545982,0.07966684,119.75634,11,157634.94,710040.3,7323983.5
201859,0,1,1,0,0,1278,9499,1,25,5,1291,24.050814,0.7141498,2558681.2,1543327,0.59468085,1473.9563,3,95552.93,3008276.8,5155992
202285,2,2,2,0,0,8067,3632,16,29,7,4041,4.172798,0.9287881,2563085.8,6429321.5,0.7792259,446.84412,3,64033.086,3310667.2,43448.14
202486,0,1,1,0,0,3670,8265,16,34,6,1790,21.267473,0.75891143,2150256.5,1238466,0.24292184,907.8612,3,73843.55,124743.766,10196946
202821,2,0,0,0,0,3340,9543,81,44,5,4388,12.580517,0.44338894,1608455.1,5792286,0.30547938,824.04144,0,173562.84,1665596.5,10101412
203417,2,0,1,0,0,3017,478,47,52,0,4888,27.0544,0.3858121,29755.781,7771769.5,0.17981707,1723.0143,7,9748.859,2155210.8,13003420
203589,0,0,0,0,0,4626,2916,12,40,7,3074,1.8745546,0.000367065,1538692.1,8098447,0.015732514,1579.4219,10,11320.313,2528390.8,1523357.9
205165,0,1,0,0,0,2140,6041,86,18,2,4523,20.956127,0.74700975,103079.53,254930.64,0.36097226,1328.9363,5,159245.86,1425041.9,3640095
205378,0,1,0,0,0,6929,6366,65,23,0,296,8.9985485,0.9045918,2088946.8,9093673,0.012236319,414.97067,3,53087.906,1779846.4,8442965
205712,0,2,0,0,0,833,1177,87,0,3,2481,24.567505,0.21083988,922521.6,7809908,0.793132,1765.2013,9,48679.31,834357.9,703282.44
206714,1,2,2,0,0,2497,2188,3,42,0,4602,12.577646,0.6948794,913333.56,4183419.5,0.8298065,1223.7786,5,83190.16,1608935.9,4370568
207083,0,1,0,0,0,4952,2389,18,27,3,2594,24.915703,0.41913635,968701.56,4334015.5,0.23873977,1245.9673,0,111124.04,266893.72,4238559.5
208677,1,1,0,0,0,434,4804,63,57,1,1989,9.085098,0.21231404,2194447.5,1545942.8,0.1912312,601.18634,0,64141.42,1782967.1,9582752
209516,2,1,2,0,0,9470,1977,33,45,4,655,16.458649,0.24249755,336991.1,1137093.8,1.0260957,829.5167,4,201196.55,2540406.8,4328360
211595,2,2,1,0,0,5516,7387,1,40,3,750,2.4034948,0.49466068,2185217.2,7233613,0.63071895,1717.6681,10,141762.12,6114.7676,5027031
213898,1,2,2,0,0,1592,6709,14,26,0,3101,9.720391,0.4640332,2099440.2,1670807.5,0.92076164,1726.5754,1,54867.836,646267.6,1974658.1
214441,2,1,1,0,0,1972,4984,58,22,1,3211,24.177898,0.65178794,2000028.4,2579498,0.3891907,1371.2328,11,134227.86,1242167.9,3194464.8
214502,2,2,1,0,0,5839,5955,30,20,1,480,21.522934,0.88417226,623828.9,739894.3,0.81104445,742.75616,11,41439.555,3481135.5,3675148.2
215471,2,2,0,0,0,8760,2154,17,52,4,4591,7.798198,0.17469874,1790818,1712108,0.06235935,1382.681,10,113539.516,3051068,2861691.8
215691,0,1,0,0,0,4944,4999,81,4,7,4290,34.88704,0.80390066,2476548.8,1239898.2,0.29186288,1618.1519,3,113293.086,2196542.5,8644528
216586,2,1,2,0,0,8109,9519,23,6,6,475,30.559566,0.25963333,1383260.1,1565212.4,0.82257044,110.64016,4,22087.709,2850798,8287236.5
216950,0,2,0,0,0,266,3361,2,29,4,4943,2.4871583,0.48325682,922300.94,3991580.8,0.60114783,1614.389,2,84766.414,2733949.5,9484803
218237,0,1,1,0,0,896,5676,12,39,3,4806,8.822556,0.8913519,1257232.1,7960556,0.7377069,704.5898,8,221221.36,1514571.9,5563067.5
219095,0,0,1,0,0,370,6503,33,2,0,2315,18.204624,0.24919905,1827064.2,4621815.5,0.6802053,1450.225,9,26785.186,1088726.5,4288319.5
222170,2,0,2,0,0,2493,2058,17,26,2,1214,29.106043,0.18375129,2388801.2,6544088.5,0.89405274,689.9943,10,223804.75,1230244.9,8541104
222727,1,0,2,0,0,2076,8527,30,16,6,909,7.830327,0.5903821,912981.44,4017461.2,0.18118183,1564.9114,1,170266.14,1200766.9,6730120.5
224707,1,1,0,0,0,4659,9227,70,15,3,1349,29.14907,0.92932886,2754448.5,8666729,0.38663706,535.644,11,39892.18,1345538.2,1070211.2
224789,1,0,1,0,0,6492,5474,86,33,0,3999,12.118282,0.47639427,2584170.5,3016077.5,0.22943631,641.9894,6,169277.78,234296.16,12688877
226016,0,0,1,0,0,7985,222,72,3,1,740,9.332849,0.037069015,1306310.9,4639553,0.7432764,426.9886,10,61421.562,1924322.1,4402640.5
226354,1,0,0,0,0,6393,8036,33,6,6,4610,36.70931,0.1030568,2055965.9,528644.94,0.9919063,1780.3524,5,74952.67,3450716,9193526
227304,1,1,0,0,0,7026,8495,2,13,0,4003,4.4651546,0.45058802,2127605.2,2824448,0.9963991,981.26117,2,74092.08,453939.88,11323815
227629,2,2,1,0,0,601,5612,50,53,6,3673,21.180714,0.30786657,2598494.8,1066787.4,0.2732641,1121.882,4,43425.914,2582074.2,4719501.5
229390,1,1,0,0,0,4645,3897,54,47,5,3843,17.942425,0.022808466,688806.1,453509.72,0.18846928,849.04315,5,89761.76,1709562,7986293.5
229448,2,1,2,0,0,2463,5479,40,41,2,1263,20.129639,0.6118882,1360694,2881915.2,0.75000805,614.0484,0,30424.393,1358847.1,8731329
229713,0,1,2,0,0,758,8821,27,25,2,1347,24.823227,0.052026834,353251.25,5280631.5,0.049303498,951.26807,6,146404.16,3491978.5,6185824.5
231318,2,2,2,0,0,5772,6876,18,7,1,2627,33.98288,0.94835585,2109392,802672.5,0.98263425,965.2891,3,26835.002,1767589.5,7082394.5
231734,2,2,1,0,0,9413,8882,4,42,4,2944,31.02407,0.12164432,1261541,4484330.5,0.09052642,805.06396,1,205347.31,2491304.8,7936810
231832,0,0,2,0,0,7220,9589,77,0,1,3131,4.769943,0.5794142,725033.56,388394.22,0.5637406,807.4382,2,6371.106,2706629.8,9667955
232222,2,0,2,0,0,1365,755,21,31,7,4609,14.894066,0.5727349,1185433,1606874.5,0.54293364,1676.5311,6,116868.36,3125367,7275942
233609,1,0,0,0,0,7275,1617,30,4,3,511,13.490704,0.19190142,1508608.4,5349139.5,0.37596664,1351.417,11,114713.22,649487.56,12005423
234191,1,2,0,0,0,9698,5755,89,25,2,1704,18.17654,0.9355192,272330.6,2200843.5,0.88994867,1323.2645,7,92368.28,2657487.2,12197223
234465,2,2,1,0,0,1731,643,66,30,5,1127,9.875861,0.5581614,1586494.4,4867498,0.021071723,780.92615,3,146601.72,2241164.2,3471607
236826,1,1,2,0,0,3443,7894,47,28,0,1725,25.10673,0.049882628,2477071.8,1423978.4,1.0150908,848.50354,0,107878.89,3484102,12750039
237039,2,2,2,0,0,7983,1384,34,17,6,1175,13.156827,0.12980805,2189104,6195176.5,0.22520296,1252.5466,11,48147.926,3379518.2,9754452
237279,0,1,1,0,0,2763,9363,36,22,7,4890,31.110954,0.7248738,1146361.2,8824973,0.95553005,1643.4431,10,192639.66,255348.47,6630148.5
237791,1,1,2,0,0,5281,5568,2,41,3,4625,32.388153,0.4072969,1946551,8203707,0.9263847,670.22986,2,145054.06,1961954.8,6444687.5
240959,2,1,2,0,0,6155,1887,89,43,4,1433,36.110226,0.46203962,1323729,5209796,0.26467952,649.58856,7,138857.84,3268062,1680492.9
242973,0,1,0,0,0,4859,181,81,14,1,4661,27.678843,0.2210546,2131457,9034275,0.41271845,1084.8378,2,2716.7402,2159081.2,4200508.5
244692,2,0,2,0,0,1678,3603,97,53,7,4543,8.8639965,0.9643048,2298051.8,982093.9,0.4445269,337.70654,3,167758.06,2205960.8,10132005
245395,1,1,1,0,0,7959,8114,39,10,0,3026,13.9963455,0.72973686,2594826,2817670,0.031119818,48.7705,9,222982.61,2536942,9844960
247405,2,1,0,0,0,6357,4417,63,32,7,3116,5.4234004,0.5460526,2485823,2799265.5,0.09124723,1640.3236,5,214457.39,1311081.2,699596.8
248972,0,2,1,0,0,6372,6530,65,7,6,2575,1.0734882,0.03201335,1397180.4,1551511,0.77063376,540.14703,3,124407.664,2524235,7243937.5
252481,0,0,1,0,0,6311,4339,74,53,3,453,31.240417,0.37357125,1627090.9,3166031,0.2649821,1304.574,8,157045.42,2219233.8,7074012
252691,1,0,0,0,0,9782,5524,8,21,3,2990,35.306072,0.6793482,256476.31,6302382,0.3083054,408.97647,11,188028.12,196094.7,6309175.5
253988,2,0,0,0,0,9635,6165,88,25,3,3290,22.94262,0.055683695,1343761.2,1161439.8,0.099219516,1312.8917,8,138227.17,2837040,9418670
254062,1,0,1,0,0,4530,201,98,14,0,4369,25.833286,0.588215,1009607.9,2104711.5,0.7436242,365.09436,6,131756.67,3423133.2,5165527
254708,2,2,0,0,0,4664,9439,73,17,2,3714,12.000054,0.35211068,1301493.6,1887829.2,0.2224271,1358.1946,0,159031.14,1251646.4,9418068
256677,0,0,0,0,0,8110,3779,75,34,2,3161,18.540127,0.90302175,394764.12,2725730.2,0.56726825,1664.9127,5,80096.93,2538639.5,4645107.5
256680,2,2,2,0,0,5173,8991,51,53,0,2218,24.488283,0.8557245,1881725,4487318.5,0.58656955,620.4465,10,79633.72,2169233.5,9089145
